,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
66,2.784953300167665e-13,2.469910622096311,0.9379904003808903,1.149440364531924e-11,1.3258550394365733e-12,0.0006482079548839113
67,2.784953300167665e-13,2.6921328443185333,0.8219035871223248,1.1689865229983695e-11,1.7615943843570033e-12,0.0009933199833246818
68,2.784953300167665e-13,2.9143550665407556,0.8304433475002639,1.1978703299414044e-11,1.7699722624287761e-12,0.0015224729900878181
69,2.784953300167665e-13,3.136577288762978,0.5943267418224938,1.2397165121726017e-11,3.154972978097958e-12,0.0023341201207029475
70,2.784953300167665e-13,3.336577288762978,0.48844120092232757,1.2918074211584394e-11,4.195237714088902e-12,0.0034297005259231474
71,2.784953300167665e-13,3.536577288762978,0.44903579137251626,1.592124695097239e-11,5.661627437314879e-12,0.005040868085569366
72,2.784953300167665e-13,3.736577288762978,0.48997083260581675,1.781618480609377e-11,5.765591600414105e-12,0.007410539461998615
73,2.784953300167665e-13,3.9365772887629777,0.20189669346604333,2.0582086711131564e-11,1.2929826879850523e-11,0.010895044190430511
74,2.784953300167665e-13,4.136577288762978,0.12084489366676898,2.545390697199287e-11,1.9271235509936918e-11,0.016015741624173945
75,2.784953300167665e-13,4.336577288762978,0.1353322266684529,3.3972612057977214e-11,2.487692593498043e-11,0.023534068416610557
76,2.784953300167665e-13,4.536577288762978,0.043610500480058434,4.447039069025959e-11,4.022170203843423e-11,0.03456221752623104
77,2.784953300167665e-13,4.7365772887629785,0.09825236127694126,6.465172828646233e-11,5.1561765307009214e-11,0.05072516838154714
78,2.784953300167665e-13,4.936577288762978,0.007766404498886104,7.28740771226992e-11,7.158246727540584e-11,0.07439328226550555
79,2.784953300167665e-13,5.136577288762978,0.023819106413407454,1.3260522627881272e-10,1.2552826740375905e-10,0.10901201835857367
80,4.645582096086769e-13,1.136577288762978,1.034282314906962,1.1141750282727327e-11,1.029606096842899e-12,8.365172815371822e-05
81,4.645582096086769e-13,1.3587995109852002,1.0272859132503562,1.1157814216204875e-11,1.047835752512341e-12,0.00012813749605038454
82,4.645582096086769e-13,1.5810217332074223,1.0280445834955767,1.1180832547545165e-11,1.0481647729571411e-12,0.00019628450732013533
83,4.645582096086769e-13,1.8032439554296444,0.9974146245154891,1.1219901180974305e-11,1.1286892985445635e-12,0.00030068335301347175
84,4.645582096086769e-13,2.0254661776518668,0.9969692970035045,1.127707276388603e-11,1.1356044499422794e-12,0.0004606283116673646
85,4.645582096086769e-13,2.247688399874089,0.9339189644603554,1.1363707570434156e-11,1.3231256379378121e-12,0.0007057022419161474
86,4.645582096086769e-13,2.469910622096311,0.9379905983112309,1.1494400589572784e-11,1.3258540827026485e-12,0.0010812719335221615
87,4.645582096086769e-13,2.6921328443185333,0.8219052194502101,1.1689908671212116e-11,1.7615943096015317e-12,0.001656951305949959
88,4.645582096086769e-13,2.9143550665407556,0.8304439059872593,1.1978718607792963e-11,1.7699722482718873e-12,0.0025396283574346044
89,4.645582096086769e-13,3.136577288762978,0.5943272594803233,1.2397180709018307e-11,3.1549731843548186e-12,0.0038935321543853135
90,4.645582096086769e-13,3.336577288762978,0.488442282124522,1.2918106079043944e-11,4.1952376189670766e-12,0.0057210634663978745
91,4.645582096086769e-13,3.536577288762978,0.4490367936808166,1.592128393118934e-11,5.661627521068312e-12,0.008408642491052998
92,4.645582096086769e-13,3.736577288762978,0.48997203104288367,1.781623455618948e-11,5.765591790119061e-12,0.012361466715393973
93,4.645582096086769e-13,3.9365772887629777,0.20189731210554385,2.058211391337201e-11,1.2929825550346555e-11,0.018173959350120526
94,4.645582096086769e-13,4.136577288762978,0.12084523399617453,2.5453927041379945e-11,1.9271235602867746e-11,0.02671576460620467
95,4.645582096086769e-13,4.336577288762978,0.13533230922675266,3.3972620799971844e-11,2.4876927607387233e-11,0.0392570414810014
96,4.645582096086769e-13,4.536577288762978,0.04361053458804598,4.447039438994196e-11,4.022170222577637e-11,0.05765302981395978
97,4.645582096086769e-13,4.7365772887629785,0.09825240549078273,6.465173477466794e-11,5.156176523225097e-11,0.0846143575024468
98,4.645582096086769e-13,4.936577288762978,0.0077664365231822075,7.287408240897556e-11,7.158246718959309e-11,0.12409500051107333
99,4.645582096086769e-13,5.136577288762978,0.02381913229126731,1.3260523389916138e-10,1.2552826713769612e-10,0.18184231552882282
