,Plot,Cell_type,Variant,STAT_type,Variant,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
99,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,6.132638017300007e-09,3.136577288762978,100000,1.0,0.013783309615011192
100,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.15523674596219023
101,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.14827225016503146
102,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.1382436378531848
103,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.12413488809539963
104,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.10505246978634007
105,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.08095307741071374
106,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.05398819985225284
107,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.029510781465060105
108,1,ACH-000049,93:60,6e-12,93:60,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,631914.029193352,1.99223492590608e-06,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.01350599094188294
