,Plot,Cell_type,Variant,STAT_type,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
105,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,2.148891634013936e-11,3.7638927465155745,100000,1.0,13.566880792325897
106,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,3.2181225117620064e-11,3.7638927465155745,100000,1.0,12.136996046419952
107,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,4.819374014391199e-11,3.7638927465155745,100000,1.0,10.118853656726218
108,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,7.217365344451104e-11,3.7638927465155745,100000,1.0,7.4879916727154505
109,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,1.0808532884091641e-10,3.7638927465155745,100000,1.0,4.688856843672528
110,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,1.6186569133057392e-10,3.7638927465155745,100000,1.0,2.6163016230138822
111,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,2.424057206550881e-10,3.7638927465155745,100000,1.0,1.4705143361243287
112,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,3.6302030975982313e-10,3.7638927465155745,100000,1.0,0.8686338496299482
113,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,5.436494854245998e-10,3.7638927465155745,100000,1.0,0.5348593215623885
114,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,8.1415489727826e-10,3.7638927465155745,100000,1.0,0.3387142895399452
115,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,1.2192565513871144e-09,3.7638927465155745,100000,1.0,0.21845364537476156
116,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,1.8259259301517372e-09,3.7638927465155745,100000,1.0,0.14257302813341907
117,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,2.734457730497721e-09,3.7638927465155745,100000,1.0,0.09377376152047481
118,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,4.095050602220965e-09,3.7638927465155745,100000,1.0,0.061992246131121746
119,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,6.132638017300007e-09,3.7638927465155745,100000,1.0,0.04112009954712978
