Dataset type,RNA dataset num.,Prot. count dataset num.,Cell,Gene,Log2 TPM,Log10 Prot. count
Cancer,2.0,,ACH-000600,IL1R1_HUMAN,5.999549087340949,
Cancer,2.0,,ACH-000354,IL1R1_HUMAN,2.356143810225275,
Cancer,2.0,,ACH-000012,IL1R1_HUMAN,2.028569152196771,
Cancer,2.0,,ACH-000689,IL1R1_HUMAN,4.443606651475615,
Cancer,2.0,,ACH-000459,IL1R1_HUMAN,3.4867143730307024,
Cancer,2.0,,ACH-001413,IL1R1_HUMAN,3.6599245584023774,
Cancer,2.0,,ACH-000686,IL1R1_HUMAN,5.204766750654613,
Cancer,2.0,,ACH-000342,IL1R1_HUMAN,1.835924074254375,
Cancer,2.0,,ACH-000208,IL1R1_HUMAN,4.2861418728343015,
Cancer,2.0,,ACH-000360,IL1R1_HUMAN,0.1243281350022017,
Cancer,2.0,,ACH-000249,IL1R1_HUMAN,1.782408564927373,
Cancer,2.0,,ACH-001368,IL1R1_HUMAN,3.114367024952,
Cancer,2.0,,ACH-000231,IL1R1_HUMAN,0.5260688116675876,
Cancer,2.0,,ACH-000945,IL1R1_HUMAN,4.769771739249448,
Cancer,2.0,,ACH-000662,IL1R1_HUMAN,0.137503523749935,
Cancer,2.0,,ACH-002458,IL1R1_HUMAN,2.189033824390017,
Cancer,2.0,,ACH-001378,IL1R1_HUMAN,2.1858665453113337,
Cancer,2.0,,ACH-001029,IL1R1_HUMAN,0.0840642647884745,
Cancer,2.0,,ACH-000248,IL1R1_HUMAN,3.8379432418910273,
Cancer,2.0,,ACH-000943,IL1R1_HUMAN,0.1505596765753814,
Cancer,2.0,,ACH-000751,IL1R1_HUMAN,1.480265122054463,
Cancer,2.0,,ACH-001696,IL1R1_HUMAN,4.259272487037594,
Cancer,2.0,,ACH-001016,IL1R1_HUMAN,3.761285273361619,
Cancer,2.0,,ACH-000282,IL1R1_HUMAN,3.089159131911238,
Cancer,2.0,,ACH-000261,IL1R1_HUMAN,1.0908534304511135,
Cancer,2.0,,ACH-000164,IL1R1_HUMAN,1.978195629681652,
Cancer,2.0,,ACH-001793,IL1R1_HUMAN,4.582556003014061,
Cancer,2.0,,ACH-000262,IL1R1_HUMAN,2.5310694927259543,
Cancer,2.0,,ACH-000158,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000773,IL1R1_HUMAN,6.320484678017694,
Cancer,2.0,,ACH-000722,IL1R1_HUMAN,0.4541758931858021,
Cancer,2.0,,ACH-000857,IL1R1_HUMAN,2.7441610955704103,
Cancer,2.0,,ACH-001129,IL1R1_HUMAN,0.8399595874895318,
Cancer,2.0,,ACH-001619,IL1R1_HUMAN,1.2141248053528475,
Cancer,2.0,,ACH-000184,IL1R1_HUMAN,5.773468927905194,
Cancer,2.0,,ACH-000329,IL1R1_HUMAN,4.792855352362489,
Cancer,2.0,,ACH-001569,IL1R1_HUMAN,2.1858665453113337,
Cancer,2.0,,ACH-000814,IL1R1_HUMAN,2.021479727410452,
Cancer,2.0,,ACH-001701,IL1R1_HUMAN,1.3045110418099528,
Cancer,2.0,,ACH-000197,IL1R1_HUMAN,0.1243281350022017,
Cancer,2.0,,ACH-000545,IL1R1_HUMAN,1.3673710656485294,
Cancer,2.0,,ACH-000949,IL1R1_HUMAN,2.669026765509631,
Cancer,2.0,,ACH-000124,IL1R1_HUMAN,0.0285691521967709,
Cancer,2.0,,ACH-000560,IL1R1_HUMAN,0.8718436485093178,
Cancer,2.0,,ACH-000897,IL1R1_HUMAN,2.851998837112446,
Cancer,2.0,,ACH-001626,IL1R1_HUMAN,1.9373443921502325,
Cancer,2.0,,ACH-000619,IL1R1_HUMAN,1.2265085298086795,
Cancer,2.0,,ACH-001973,IL1R1_HUMAN,0.765534746362977,
Cancer,2.0,,ACH-001340,IL1R1_HUMAN,3.499527024215096,
Cancer,2.0,,ACH-000546,IL1R1_HUMAN,1.859969548221026,
Cancer,2.0,,ACH-001709,IL1R1_HUMAN,0.0426443374084937,
Cancer,2.0,,ACH-002018,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000153,IL1R1_HUMAN,2.1342209397606338,
Cancer,2.0,,ACH-000526,IL1R1_HUMAN,5.436628267292844,
Cancer,2.0,,ACH-000116,IL1R1_HUMAN,6.003152448666922,
Cancer,2.0,,ACH-000815,IL1R1_HUMAN,1.5210507369009632,
Cancer,2.0,,ACH-001270,IL1R1_HUMAN,0.6135316529179271,
Cancer,2.0,,ACH-000324,IL1R1_HUMAN,3.0,
Cancer,2.0,,ACH-001561,IL1R1_HUMAN,4.139960569545456,
Cancer,2.0,,ACH-000842,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000898,IL1R1_HUMAN,0.2387868595871164,
Cancer,2.0,,ACH-000517,IL1R1_HUMAN,2.035623909730721,
Cancer,2.0,,ACH-001415,IL1R1_HUMAN,4.465974464504069,
Cancer,2.0,,ACH-000681,IL1R1_HUMAN,4.23035674505615,
Cancer,2.0,,ACH-001310,IL1R1_HUMAN,2.8914191868460786,
Cancer,2.0,,ACH-000070,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-000484,IL1R1_HUMAN,0.925999418556223,
Cancer,2.0,,ACH-000108,IL1R1_HUMAN,1.8953026213333068,
Cancer,2.0,,ACH-000808,IL1R1_HUMAN,3.824767853143294,
Cancer,2.0,,ACH-000656,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000166,IL1R1_HUMAN,0.2265085298086797,
Cancer,2.0,,ACH-000997,IL1R1_HUMAN,0.8639384504239714,
Cancer,2.0,,ACH-000866,IL1R1_HUMAN,2.6016965164809576,
Cancer,2.0,,ACH-000819,IL1R1_HUMAN,3.12267271882414,
Cancer,2.0,,ACH-000226,IL1R1_HUMAN,5.490890978894291,
Cancer,2.0,,ACH-000087,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-000340,IL1R1_HUMAN,4.673556423990145,
Cancer,2.0,,ACH-002005,IL1R1_HUMAN,0.2509615735332188,
Cancer,2.0,,ACH-000758,IL1R1_HUMAN,2.286881147788161,
Cancer,2.0,,ACH-000196,IL1R1_HUMAN,1.232660756790275,
Cancer,2.0,,ACH-000258,IL1R1_HUMAN,0.1505596765753814,
Cancer,2.0,,ACH-000163,IL1R1_HUMAN,4.463360885816658,
Cancer,2.0,,ACH-000076,IL1R1_HUMAN,0.8718436485093178,
Cancer,2.0,,ACH-000509,IL1R1_HUMAN,0.0976107966264223,
Cancer,2.0,,ACH-001193,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000571,IL1R1_HUMAN,3.5496691707264905,
Cancer,2.0,,ACH-000391,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000293,IL1R1_HUMAN,5.9371089462026045,
Cancer,2.0,,ACH-000532,IL1R1_HUMAN,0.6690267655096305,
Cancer,2.0,,ACH-000584,IL1R1_HUMAN,7.636842095866156,
Cancer,2.0,,ACH-001690,IL1R1_HUMAN,1.3950627995175775,
Cancer,2.0,,ACH-000586,IL1R1_HUMAN,0.7739963251111731,
